DATE,PRS85006023
1947-01-01,117.916
1947-04-01,117.410
1947-07-01,116.869
1947-10-01,117.081
1948-01-01,117.239
1948-04-01,116.853
1948-07-01,116.508
1948-10-01,116.098
1949-01-01,116.004
1949-04-01,115.563
1949-07-01,115.103
1949-10-01,115.219
1950-01-01,115.802
1950-04-01,116.091
1950-07-01,116.634
1950-10-01,116.768
1951-01-01,116.920
1951-04-01,116.882
1951-07-01,116.270
1951-10-01,116.181
1952-01-01,116.727
1952-04-01,116.067
1952-07-01,116.272
1952-10-01,116.621
1953-01-01,116.603
1953-04-01,116.384
1953-07-01,115.449
1953-10-01,115.190
1954-01-01,114.978
1954-04-01,115.083
1954-07-01,114.906
1954-10-01,115.459
1955-01-01,115.995
1955-04-01,116.188
1955-07-01,116.217
1955-10-01,116.467
1956-01-01,116.069
1956-04-01,115.612
1956-07-01,115.642
1956-10-01,115.854
1957-01-01,115.463
1957-04-01,114.692
1957-07-01,114.418
1957-10-01,113.407
1958-01-01,113.238
1958-04-01,113.361
1958-07-01,113.884
1958-10-01,114.439
1959-01-01,114.836
1959-04-01,115.181
1959-07-01,114.820
1959-10-01,114.557
1960-01-01,114.313
1960-04-01,114.371
1960-07-01,114.494
1960-10-01,114.033
1961-01-01,113.789
1961-04-01,113.749
1961-07-01,113.919
1961-10-01,114.344
1962-01-01,114.058
1962-04-01,114.591
1962-07-01,114.547
1962-10-01,114.125
1963-01-01,114.250
1963-04-01,114.487
1963-07-01,114.183
1963-10-01,114.473
1964-01-01,115.858
1964-04-01,116.121
1964-07-01,115.877
1964-10-01,116.027
1965-01-01,116.666
1965-04-01,116.437
1965-07-01,116.143
1965-10-01,116.198
1966-01-01,116.436
1966-04-01,116.090
1966-07-01,115.656
1966-10-01,115.143
1967-01-01,114.543
1967-04-01,113.821
1967-07-01,113.718
1967-10-01,113.664
1968-01-01,113.282
1968-04-01,113.487
1968-07-01,113.480
1968-10-01,112.935
1969-01-01,112.859
1969-04-01,112.701
1969-07-01,112.477
1969-10-01,112.058
1970-01-01,111.581
1970-04-01,110.815
1970-07-01,110.308
1970-10-01,110.221
1971-01-01,110.235
1971-04-01,110.201
1971-07-01,110.016
1971-10-01,110.405
1972-01-01,110.430
1972-04-01,110.409
1972-07-01,110.325
1972-10-01,110.185
1973-01-01,110.065
1973-04-01,110.007
1973-07-01,110.011
1973-10-01,109.694
1974-01-01,108.924
1974-04-01,108.615
1974-07-01,108.315
1974-10-01,107.609
1975-01-01,106.774
1975-04-01,106.647
1975-07-01,106.846
1975-10-01,107.386
1976-01-01,107.743
1976-04-01,107.012
1976-07-01,106.816
1976-10-01,106.583
1977-01-01,106.438
1977-04-01,106.609
1977-07-01,106.380
1977-10-01,106.226
1978-01-01,105.449
1978-04-01,106.414
1978-07-01,106.251
1978-10-01,106.122
1979-01-01,105.648
1979-04-01,105.050
1979-07-01,105.370
1979-10-01,105.348
1980-01-01,104.791
1980-04-01,103.943
1980-07-01,103.762
1980-10-01,104.254
1981-01-01,104.382
1981-04-01,103.963
1981-07-01,103.563
1981-10-01,103.638
1982-01-01,102.697
1982-04-01,103.388
