DATE,UNRATE,CNP16OV,GDPC1,OPHNFB,LES1252881600Q,A794RX0Q048SBEA
1947-01-01,.,.,2182.681,22.265,.,9441.0
1947-04-01,.,.,2176.892,22.771,.,9555.0
1947-07-01,.,.,2172.432,22.074,.,9542.0
1947-10-01,.,.,2206.452,23.002,.,9501.0
1948-01-01,3.7333333333333333,102690.666666666667,2239.682,23.106,.,9510.0
1948-04-01,3.6666666666666667,102915.333333333333,2276.69,23.045,.,9582.0
1948-07-01,3.7666666666666667,103249.000000000000,2289.77,23.070,.,9555.0
1948-10-01,3.8333333333333333,103417.666666666667,2292.364,23.171,.,9587.0
1949-01-01,4.6666666666666667,103584.333333333333,2260.807,23.407,.,9560.0
1949-04-01,5.8666666666666667,103838.000000000000,2253.128,23.648,.,9668.0
1949-07-01,6.7000000000000000,104127.333333333333,2276.424,24.214,.,9649.0
1949-10-01,6.9666666666666667,104427.666666666667,2257.352,24.083,.,9746.0
1950-01-01,6.4000000000000000,104733.333333333333,2346.104,24.909,.,9867.0
1950-04-01,5.5666666666666667,105020.333333333333,2417.682,25.215,.,9994.0
1950-07-01,4.6333333333333333,105248.333333333333,2511.127,25.763,.,10463.0
1950-10-01,4.2333333333333333,104982.333333333333,2559.214,25.809,.,10102.0
1951-01-01,3.5000000000000000,104692.333333333333,2593.967,25.837,.,10303.0
1951-04-01,3.1000000000000000,104506.666666666667,2638.898,25.758,.,9972.0
1951-07-01,3.1666666666666667,104542.666666666667,2693.259,26.329,.,10042.0
1951-10-01,3.3666666666666667,104746.666666666667,2699.156,26.408,.,10053.0
1952-01-01,3.0666666666666667,104863.333333333333,2727.954,26.543,.,10035.0
1952-04-01,2.9666666666666667,105006.666666666667,2733.8,26.490,.,10192.0
1952-07-01,3.2333333333333333,105342.666666666667,2753.517,26.360,.,10197.0
1952-10-01,2.8333333333333333,105703.000000000000,2843.941,26.919,.,10508.0
1953-01-01,2.7000000000000000,106672.000000000000,2896.811,27.153,.,10592.0
1953-04-01,2.5666666666666667,106904.666666666667,2919.206,27.218,.,10617.0
1953-07-01,2.7333333333333333,107139.666666666667,2902.785,27.333,.,10543.0
1953-10-01,3.7000000000000000,107503.333333333333,2858.845,27.237,.,10424.0
1954-01-01,5.2666666666666667,107876.666666666667,2845.192,27.294,.,10417.0
1954-04-01,5.8000000000000000,108177.000000000000,2848.305,27.484,.,10510.0
1954-07-01,5.9666666666666667,108443.333333333333,2880.482,27.979,.,10603.0
1954-10-01,5.3333333333333333,108786.000000000000,2936.852,28.294,.,10773.0
1955-01-01,4.7333333333333333,109130.333333333333,3020.746,28.852,.,10969.0
1955-04-01,4.4000000000000000,109533.666666666667,3069.91,28.951,.,11135.0
1955-07-01,4.1000000000000000,109883.666666666667,3111.379,29.057,.,11221.0
1955-10-01,4.2333333333333333,110186.000000000000,3130.068,28.952,.,11307.0
1956-01-01,4.0333333333333333,110483.333333333333,3117.922,28.603,.,11279.0
1956-04-01,4.2000000000000000,110787.666666666667,3143.694,28.744,.,11271.0
1956-07-01,4.1333333333333333,111113.333333333333,3140.874,28.740,.,11244.0
1956-10-01,4.1333333333333333,111431.000000000000,3192.57,29.048,.,11342.0
1957-01-01,3.9333333333333333,111720.333333333333,3213.011,29.381,.,11370.0
1957-04-01,4.1000000000000000,112045.333333333333,3205.97,29.264,.,11343.0
1957-07-01,4.2333333333333333,112430.666666666667,3237.386,29.676,.,11382.0
1957-10-01,4.9333333333333333,112865.666666666667,3203.894,29.774,.,11335.0
1958-01-01,6.3000000000000000,113236.333333333333,3120.724,29.364,.,11136.0
1958-04-01,7.3666666666666667,113532.000000000000,3141.224,29.926,.,11185.0
1958-07-01,7.3333333333333333,113846.333333333333,3213.884,30.488,.,11322.0
1958-10-01,6.3666666666666667,114283.333333333333,3289.032,31.008,.,11423.0
1959-01-01,5.8333333333333333,114714.333333333333,3352.129,31.046,.,11582.0
1959-04-01,5.1000000000000000,115139.000000000000,3427.667,31.347,.,11716.0
1959-07-01,5.2666666666666667,115550.666666666667,3430.057,31.391,.,11788.0
1959-10-01,5.6000000000000000,115918.000000000000,3439.832,31.289,.,11749.0
1960-01-01,5.1333333333333333,116707.666666666667,3517.181,32.019,.,11792.0
1960-04-01,5.2333333333333333,117036.666666666667,3498.246,31.521,.,11869.0
1960-07-01,5.5333333333333333,117411.000000000000,3515.385,31.708,.,11763.0
1960-10-01,6.2666666666666667,117824.333333333333,3470.278,31.289,.,11732.0
1961-01-01,6.8000000000000000,118254.333333333333,3493.703,31.693,.,11688.0
1961-04-01,7.0000000000000000,118636.000000000000,3553.021,32.526,.,11816.0
1961-07-01,6.7666666666666667,119000.666666666667,3621.252,33.080,.,11824.0
1961-10-01,6.2000000000000000,119189.666666666667,3692.289,33.364,.,12011.0
1962-01-01,5.6333333333333333,119378.666666666667,3758.147,33.909,.,12095.0
1962-04-01,5.5333333333333333,119819.333333333333,3792.149,33.774,.,12201.0
1962-07-01,5.5666666666666667,120368.000000000000,3838.776,34.336,.,12252.0
1962-10-01,5.5333333333333333,121045.666666666667,3851.421,34.588,.,12375.0
1963-01-01,5.7666666666666667,121640.000000000000,3893.482,34.692,.,12421.0
1963-04-01,5.7333333333333333,122166.666666666667,3937.183,34.955,.,12498.0
1963-07-01,5.5000000000000000,122669.666666666667,4023.755,35.812,.,12619.0
